Month,Foundation_revit,Foundation_revit_inc,Superstructure_revit,Superstructure_revit_inc,MEP_revit,MEP_revit_inc,Interior_revit,Interior_revit_inc,Delta_revit,Total_revit,Outdoor_proxy,Handover_proxy,REVIT_MonWeighted6,REVIT_CumWeighted6,Foundation_APS,Superstructure_APS,MEP_APS,Interior_APS,Delta_APS,Total_APS,APS_MonWeighted6,APS_CumWeighted6,APS_geometry_pct
M01,194,194,,,,,,,194,194,,,2.346774,2.346774,204,,,,204,204,1.99%,1.99%,1.044784613
M02,446,252,,,,,,,252,446,,,3.048387,5.395161,311,,,,311,515,3.04%,5.03%,2.637568998
M03,521,75,,,,,,,75,521,,,0.907258,6.302419,81,,,,81,596,0.79%,5.82%,3.052409947
M04,992,471,,,,,,,471,992,,,5.697581,12,632,,,,632,1228,6.18%,12.00%,6.289193649
M05,,,1355,363,,,,,363,1355,,,17.019854,29.019854,,462,,,462,1690,8.04%,20.04%,8.655323508
M06,,,1625,270,,,,,270,1625,,,3.39141,32.411264,,316,,,316,2006,5.50%,25.54%,10.27371536
M07,,,1880,255,,,,,255,1880,,,3.202998,35.614262,,266,,,266,2272,4.63%,30.17%,11.63603255
M08,,,2137,257,,,,,257,2137,,,3.22812,38.842382,,270,,,270,2542,4.70%,34.87%,13.01883571
M09,,,2258,121,,,,,121,2258,,,1.519854,40.362236,,163,,,163,2705,2.84%,37.71%,13.85363911
M10,,,2362,104,,,,,104,2362,,,1.306321,41.668557,,105,,,105,2810,1.83%,39.54%,14.39139589
M11,,,2431,69,,,,,69,2431,,,0.866694,42.535251,,89,,,89,2899,1.55%,41.09%,14.84720879
M12,,,2468,37,526,526,,,563,2994,,,3.745118,46.280369,,78,706,,784,3683,4.72%,45.80%,18.86245945
M13,,,2468,0,2462,1936,43,43,1979,4973,,,12.195928,58.476297,,32,2462,1474,3968,7651,15.60%,61.41%,39.18454447
M14,,,,,2889,427,660,617,1044,6017,,,4.416028,62.892325,,,427,1108,1535,9186,4.54%,65.94%,47.04603653
M15,,,,,3297,408,726,66,474,6491,,,2.731993,65.624318,,,632,226,858,10044,3.52%,69.46%,51.4402777
M16,,,,,3316,19,7145,6419,6438,12929,,,18.356643,83.980961,,,435,6026,6461,16505,15.69%,85.16%,84.53024526
M17,,,,,3688,372,7145,0,372,13301,,,2.319957,86.300918,,,137,238,375,16880,1.19%,86.35%,86.45080521
M18,,,,,3688,0,7266,121,121,13422,,,0.343794,86.644712,,,35,99,134,17014,0.39%,86.74%,87.1370853
M19,,,,,3688,0,7517,251,251,13673,1,,1.71316,88.357872,,,0,298,298,17312,1.67%,88.41%,88.66329027
M20,,,,,,,7743,226,226,13899,2,,1.642128,90,,,,261,261,17573,1.59%,90.00%,90
M21,,,,,,,7743,0,0,13899,3,,1,91,,,,0,0,17573,1.00%,91.00%,90
M22,,,,,,,7743,0,0,13899,4,,1,92,,,,0,0,17573,1.00%,92.00%,90
M23,,,,,,,,,,,5,4,5,97,,,,,,,5.00%,97.00%,
M24,,,,,,,,,,,,7,3,100,,,,,,,3.00%,100.00%,
