project_id,month_index,month_name,foundation_share_pct,superstructure_share_pct,equipment_share_pct,interior_share_pct,outdoor_share_pct,handover_share_pct,monthly_total_share_pct,monthly_total_share,monthly_cost,cumulative_cost,cumulative_share_pct,,work_foundation,work_superstructure,work_mep_wsd,work_interior,work_outdoor,work_handover
CN001,1,Sep-25,2,0,0,0,0,0,2,0.02,800000,800000,2,,Survey & setting-out; temporary works; piling/pit support; excavation & dewatering (B1 area),,,,,
CN001,2,Oct-25,3,0,0,0,0,0,3,0.03,1200000,2000000,5,,Excavate to formation; blinding; first batch of pile caps & ground beams; embeds/sleeves,,,,,
CN001,3,Nov-25,3,0,0,0,0,0,3,0.03,1200000,3200000,8,,Continue pile caps & ground beams; basement slab; waterstop & waterproofing details,,,,,
CN001,4,Dec-25,4,0,0,0,0,0,4,0.04,1600000,4800000,12,,Foundation wrap-up; basement exterior walls & partial backfill; 1F formwork/falsework acceptance,,,,,
CN001,5,Jan-26,0,1,0,0,0,0,1,0.01,400000,5200000,13,,,Start superstructure: 1F columns/beams/slab; core wall; embeds & openings coordination,,,,
CN001,6,Feb-26,0,2,0,0,0,0,2,0.02,800000,6000000,15,,,Climb up to 2F; stairs; link beams; check MEP sleeves,,,,
CN001,7,Mar-26,0,3,0,0,0,0,3,0.03,1200000,7200000,18,,,Climb up to 3F; slab openings & reinforcement; façade embeds setting-out,,,,
CN001,8,Apr-26,0,4,0,0,0,0,4,0.04,1600000,8800000,22,,,Climb up to 4F; plan roof access & openings,,,,
CN001,9,May-26,0,5,0,0,0,0,5,0.05,2000000,10800000,27,,,Reach 5F – roof primary frame: columns/wall upstands and main/edge beams in place; parapet edge beams aligned (no roof slab yet).,,,,
CN001,10,Jun-26,0,5,0,0,0,0,5,0.05,2000000,12800000,32,,,5F roof slab poured: roof structural slab cast; major roof openings reserved.,,,,
CN001,11,Jul-26,0,5,0,0,0,0,5,0.05,2000000,14800000,37,,,Computer room floor finished: RF (roof) structure formed; façade structural closure,,,,
CN001,12,Aug-26,0,4,2,0,0,0,6,0.06,2400000,17200000,43,,,Structural acceptance & touch-ups; ready for façade/MEP full-scale work,"Early MEP preparation: Risers & shafts, equipment bases, firestop mock-ups; coordinate with structural touch-ups",,,
CN001,13,Sep-26,0,2,3,2,0,0,7,0.07,2800000,20000000,50,,,Temporary waterproofing measures (such as a membrane or coating),"Level mains rollout (-1F–1F priority): Main cable trays, ducts, WSD piping; first pressure tests","Basement to 1F: external walls, floor slabs, and roof over B1. Includes external waterproofing and backfill. [Hidden works: base sealing, underground cable sleeves]",,
CN001,14,Oct-26,0,0,3,3,0,0,6,0.06,2400000,22400000,56,,,,"Mid-phase (2F–3F installation): Ducts, sprinklers, BMS cabling, FCU bases; wiring & insulation (low zone)","2F–5F: external wall masonry and slab construction. [Hidden: lintel waterproofing, embedded MEP sleeves]",,
CN001,15,Nov-26,0,0,4,3,0,0,7,0.07,2800000,25200000,63,,,,Mid-phase (4F–RF installation): Upper zone ducts/trays/sprinklers; coordination with roof drainage and parapet,"Equipment floor: outer walls and top slab. Full internal walls (all floors). [Hidden: shaft closures, wall backing, MEP clearance zones]",,
CN001,16,Dec-26,0,0,3,2,0,0,5,0.05,2000000,27200000,68,,,,"Pump room works: Pump room installation, electrical DB bases, preliminary loop","Roof parapet walls and full curtain wall installation. [Hidden: curtain fixings, joint sealants]",,
CN001,17,Jan-27,0,0,2,2,0,0,4,0.04,1600000,28800000,72,,,,"Terminal devices & loop checks: FCUs, diffusers, lighting, plumbing fixtures; partial power-on","Interior plastering and ceilings (start from lower floors). [Hidden: plaster benchmarks, concealed MEP inspections]",,
CN001,18,Feb-27,0,0,3,3,0,0,6,0.06,2400000,31200000,78,,,,Commissioning & balancing: System loop verification; air/water balancing,"Stairs and ramps (all floors). [Hidden: handrail base plates, nosing form details]",,
CN001,19,Mar-27,0,0,3,3,1,0,7,0.07,2800000,34000000,85,,,,"Integrated testing & Final acceptance: Subsystem integration; control system calibration; End devices verification, as-built documentation, overall MEP acceptance","50% of doors and windows. Floor screed and base paint. [Hidden: fire sealants, slope levelling]","Start external works: yard subbase; tie-in to external utilities (storm/sanitary, water, telecom)",
CN001,20,Apr-27,0,0,0,2,1,0,3,0.03,1200000,35200000,88,,,,,"Remaining 50% doors/windows, railings, and steel canopies. [Hidden: welding touch-ups, silicone seals]",Road base layers; fence foundations; light pole bases,
CN001,21,May-27,0,0,0,1,1,0,2,0.02,800000,36000000,90,,,,,"Protective flooring, soft trims. [Hidden: corner guards, adhesive layers]",Road wearing course; gully improvements; signage foundations,
CN001,22,Jun-27,0,0,0,1,1,0,2,0.02,800000,36800000,92,,,,,"Final cleaning, defect checks, and handover. [Hidden: signage, loose furniture, testing tags]",Landscaping & irrigation lines; external equipment pads,
CN001,23,Jul-27,0,0,0,0,1,4,5,0.05,2000000,38800000,97,,,,,,Street furniture/bollards; lighting erection & energization; outdoor security points close-out,"Integrated testing & commissioning peak: fire linkage, low-voltage platform, trial run; O&M/as-built docs"
CN001,24,Aug-27,0,0,0,0,0,3,3,0.03,1200000,40000000,100,,,,,,,Defect clearance & re-tests; statutory/specialty inspections; final acceptance & demobilization
,,,,,,,,,,,,,,,,,,,,
,,,12,31,23,22,5,7,,,,,,,,,,,,
